id,text,target,red_flag,label,label_id
m2_0001,User: I've had stomach pain since yesterday.,pain_location,False,pain_location,20
m2_0002,User: I've had stomach pain since yesterday. | Assistant: Where exactly is the pain? | User: Mostly around my upper abdomen.,pain_quality,False,pain_quality,22
m2_0003,User: I've had stomach pain since yesterday. | Assistant: Where exactly is the pain? | User: Mostly around my upper abdomen. | Assistant: How would you describe the pain? | User: It's a dull ache.,pain_severity,False,pain_severity,24
m2_0004,User: I've had stomach pain since yesterday. | Assistant: Where exactly is the pain? | User: Mostly around my upper abdomen. | Assistant: How severe is it from 0 to 10? | User: About 5.,associated_symptoms,False,associated_symptoms,1
m2_0005,User: My stomach hurts after meals. | Assistant: Where exactly is the pain? | User: Mostly in the upper abdomen.,pain_quality,False,pain_quality,22
m2_0006,User: I've had abdominal pain for three days. | Assistant: Where is the pain? | User: On the lower right side.,pain_progression,False,pain_progression,21
m2_0007,User: I've had abdominal pain for three days. | Assistant: Where is the pain? | User: On the lower right side. | Assistant: Is it getting better or worse? | User: It is getting worse.,associated_symptoms,False,associated_symptoms,1
m2_0008,User: I have stomach cramps that come and go. | Assistant: How often does the pain happen? | User: Several times a day.,pain_triggers,False,pain_triggers,25
m2_0009,User: I've had a headache since this morning.,pain_location,False,pain_location,20
m2_0010,User: I've had a headache since this morning. | Assistant: Where does it hurt? | User: Mostly behind my eyes.,pain_quality,False,pain_quality,22
m2_0011,User: I've had a headache since this morning. | Assistant: Where does it hurt? | User: Mostly behind my eyes. | Assistant: What does the pain feel like? | User: It is throbbing.,pain_severity,False,pain_severity,24
m2_0012,User: I've had a headache since this morning. | Assistant: How severe is the headache? | User: About 6 out of 10.,associated_symptoms,False,associated_symptoms,1
m2_0013,User: I've had headaches for a week. | Assistant: How often are they happening? | User: Almost every day.,pain_progression,False,pain_progression,21
m2_0014,User: I've had a headache since this morning. | Assistant: Do you notice anything that makes it worse? | User: Bright light does.,associated_symptoms,False,associated_symptoms,1
m2_0015,User: The headache sometimes moves from my forehead to the back of my head. | Assistant: Where does it usually start? | User: Around my forehead.,pain_quality,False,pain_quality,22
m2_0016,User: My lower back has been hurting for four days.,pain_location,False,pain_location,20
m2_0017,User: My lower back has been hurting for four days. | Assistant: Where exactly is the pain? | User: Mostly on the right side.,pain_quality,False,pain_quality,22
m2_0018,User: My lower back has been hurting for four days. | Assistant: Does the pain travel anywhere? | User: Down my right leg.,pain_severity,False,pain_severity,24
m2_0019,User: My lower back has been hurting for four days. | Assistant: What makes it worse? | User: Bending forward.,pain_relieving_factors,False,pain_relieving_factors,23
m2_0020,User: My lower back has been hurting for four days. | Assistant: What makes it better? | User: Resting helps.,associated_symptoms,False,associated_symptoms,1
m2_0021,User: My lower back started hurting after lifting a box. | Assistant: Did anything trigger it? | User: I lifted a heavy box.,functional_impact,False,functional_impact,17
